theta,q,u
-0.0010302399998480842,-0.0023140777824920905,0.0034489266691914225
-0.001053380777673005,-0.0001318658773365295,0.0021858810817479276
-0.0010546994364463702,0.0007562167494488983,0.0016556688232234015
-0.0010471372689518812,0.0017178653203176407,0.001063555345713178
-0.0010299586157487047,-9.810394445704035e-05,0.0021187795981716336
-0.001030939655193275,-0.0005190747015641433,0.0023733241313250364
-0.0010361304022089165,0.002067989404741386,0.0008314671615730015
-0.0010154505081615027,0.006684637049783761,-0.0019798812135472512
-0.000948604137663665,0.006140368441579805,-0.0017870127896205527
-0.000887200453247867,0.006560416431515547,-0.0021618489524135934
-0.0008215962889327115,0.007370463777482131,-0.0027790856886238556
-0.0007478916511578902,0.007526091029642253,-0.003019871315469571
-0.0006726307408614677,0.007670647898042084,-0.0032571272571023154
-0.0005959242618810469,0.007551045358579755,-0.0033387786913857587
-0.0005204138082952493,0.007029420473819128,-0.003176824667700978
-0.000450119603557058,0.007544511497213723,-0.003626467691214117
-0.00037467448858492076,0.009663331836074032,-0.005048650124474578
-0.00027804117022418043,0.011335283769029458,-0.006245087920969314
-0.00016468833253388586,0.009117525199948406,-0.005141138454901272
-7.351308053440179e-05,0.007435991289573602,-0.004314568612675357
8.468323613342342e-07,0.0045459670912539555,-0.0027292739194750416
4.630650327387379e-05,0.0068610364713514865,-0.00420923488935864
0.00011491686798738865,0.00961905802900739,-0.006001268553379211
0.00021110744827746255,0.01182969741548157,-0.007520033345843866
0.0003294044224322782,0.005653783271700163,-0.004051078807884655
0.00038594225514927986,0.004933838687031096,-0.0037321877225172176
0.00043528064201959083,0.005516778274115164,-0.00418062824850828
0.0004904484247607425,0.005503322182756592,-0.0042828901591754395
0.0005454816465883084,0.007262204159058248,-0.005448285788611566
0.0006181036881788909,0.00784874669585674,-0.005945455393871826
0.0006965911551374583,0.007490976594275845,-0.005887768266840424
0.0007715009210802168,0.007279843859785481,-0.0059109081580317226
0.0008442993596780716,0.004976381803354716,-0.004674427801368973
0.0008940631777116187,0.006324906511116318,-0.005583070262093028
0.0009573122428227819,0.0038247592537026484,-0.004209480037867153
0.0009955598353598085,0.0023120287393054353,-0.003378336914302878
0.0010186801227528629,0.0009137116992467456,-0.002585587265053773
0.0010278172397453302,-0.00035553346229612423,-0.001842314402112986
0.001024261905122369,0.00203877290302726,-0.003271787552061094
0.0010446496341526416,0.002448905101043115,-0.003558642328931152
0.0010691386851630726,-0.0012607951922802719,-0.0013818002549579821
0.00105653073324027,0.000890963699179455,-0.0026476396859882127
0.0010654403702320644,0.0009021221463225348,-0.0026721540282576496
0.0010744615916952896,0.0025369062816904733,-0.003671066952404863
0.0010998306545121944,0.003934377208637339,-0.004560287634206793
0.0011391744265985678,0.005261479987254603,-0.005435236845549897
0.001191789226471114,0.0010136077607099296,-0.0029917431093681858
0.0012019253040782133,-0.0030393877974314656,-0.0005802179296975473
0.0011715314261038987,-0.0018365314243380473,-0.001241143997604969
0.0011531661118605182,0.0015232494575568459,-0.003220281898255144
0.0011683986064360866,0.0004554795076727961,-0.002610084917475851
0.0011729534015128145,0.0048674815851171204,-0.005266395754095901
0.0012216282173639857,0.0033690948304335,-0.0044647133329880715
0.0012553191656683208,0.0028637939577590165,-0.0042289147059920516
0.001283957105245911,-0.0005377115212055533,-0.00224528729776849
0.0012785799900338554,-0.0015944121727467884,-0.0016005126764196379
0.0012626358683063875,-0.0030146582238507603,-0.0007164768023023189
0.00123248928606788,-0.0052999059918019675,0.0007149650229454204
0.0011794902261498602,-0.007279771270109401,0.0020088823097659204
0.0011066925134487662,-0.005168084848096227,0.0008874658819602037
0.001055011664967804,-0.007407197824288213,0.00233429536463732
0.0009809396867249218,-0.009651594924723233,0.0038290775813840964
0.0008844237374776894,-0.011715105210228912,0.005260215651181968
0.0007672726853754004,-0.012744040031701551,0.00611187864827013
0.0006398322850583848,-0.00853885285490583,0.0038436471428267283
0.0005544437565093265,-0.010047810328951504,0.004919798684352249
0.00045396565321981143,-0.0074291957534992625,0.003549586145659935
0.0003796736956848188,-0.008678620500686027,0.004447824909041978
0.0002928874906779585,-0.004973411827175977,0.002398272114949669
0.00024315337240619875,-0.0027737225971810734,0.0011779268134962466
0.000215416146434388,-0.003718436826797002,0.0018002298032094252
0.000178231778166418,-0.003912977133532627,0.0019913227237867395
0.00013910200683109173,-0.007313211821814502,0.0041097230794265175
0.01530927682546975,0.21470585016683244,-0.15944206375103895
0.017456335327138073,0.1743326972778199,-0.13951228902096807
0.01919966229991627,0.1434046621132048,-0.12444212186775541
0.020633708921048318,0.11307342198815101,-0.10911147103498725
0.021764443140929828,0.08500469582144178,-0.09453170377472472
0.022614490099144246,0.0592026999099409,-0.08075060014425303
0.023206517098243656,0.03938181012640864,-0.07004212027233249
0.023600335199507744,0.020434242368128006,-0.05946121581989229
0.023804677623189024,0.004746914091887426,-0.0504575037015105
0.0238521467641079,-0.00862293865904896,-0.04253053033278642
0.02376591737751741,-0.021639375259031424,-0.034548209599615964
0.023549523624927095,-0.030624742942639623,-0.028724201484270417
0.0232432761955007,-0.040875259756431845,-0.021961396537142294
0.02283452359793638,-0.048329978789779765,-0.0166710599220049
